CustomerID,Churn,Tenure,PreferredLoginDevice,CityTier,WarehouseToHome,PreferredPaymentMode,Gender,HourSpendOnApp,NumberOfDeviceRegistered,PreferedOrderCat,SatisfactionScore,MaritalStatus,NumberOfAddress,Complain,OrderAmountHikeFromlastYear,CouponUsed,OrderCount,DaySinceLastOrder,CashbackAmount
50001,1,0.12903225806451613,1,2,0.03225806451612903,4,0,0.6666666666666667,0.33333333333333337,2,0.25,2,0.8,1,0.0,0.3333333333333333,0.0,0.5555555555555556,0.37982014936747466
50002,1,0.29032258064516125,2,0,0.0967741935483871,6,1,0.6666666666666667,0.6666666666666666,3,0.5,2,0.6000000000000001,1,0.2857142857142857,0.0,0.0,0.0,0.08238073464410922
50003,1,0.29032258064516125,2,0,0.8064516129032259,4,1,0.3333333333333333,0.6666666666666666,3,0.5,2,0.5000000000000001,1,0.2142857142857143,0.0,0.0,0.3333333333333333,0.07765584514555712
50004,1,0.0,2,2,0.32258064516129037,4,1,0.3333333333333333,0.6666666666666666,2,1.0,2,0.7000000000000001,0,0.8571428571428571,0.0,0.0,0.3333333333333333,0.1827465325407711
50005,1,0.0,2,0,0.22580645161290322,0,1,0.6666666666666667,0.33333333333333337,3,1.0,2,0.20000000000000004,0,0.0,0.3333333333333333,0.0,0.3333333333333333,0.14868160341411374
50007,1,0.29032258064516125,2,2,0.19354838709677422,2,1,0.3333333333333333,0.33333333333333337,2,0.25,0,0.30000000000000004,0,0.2142857142857143,0.0,0.0,0.0,0.0820759030635575
50008,1,0.29032258064516125,2,0,0.03225806451612903,0,1,0.6666666666666667,0.33333333333333337,3,0.25,0,0.20000000000000004,1,0.3571428571428571,0.6666666666666666,0.5,0.0,0.09785093735711026
50009,1,0.4193548387096774,2,2,0.1290322580645161,5,1,0.6666666666666667,0.6666666666666666,3,0.5,0,0.1,1,0.2142857142857143,0.0,0.0,0.2222222222222222,0.12757201646090544
50010,1,0.29032258064516125,2,0,0.8387096774193549,4,1,0.3333333333333333,0.9999999999999999,3,0.5,2,0.1,0,0.0714285714285714,0.3333333333333333,0.0,0.1111111111111111,0.09785093735711026
50012,1,0.3548387096774194,1,0,0.03225806451612903,4,1,0.6666666666666667,0.6666666666666666,0,0.5,2,0.9,1,0.1428571428571428,0.0,0.0,0.0,0.33318091754305756
50013,1,0.0,2,0,0.19354838709677422,1,1,0.3333333333333333,0.33333333333333337,3,0.5,2,0.1,1,0.1428571428571428,0.6666666666666666,0.5,0.2222222222222222,0.18533760097546104
50014,1,0.0,2,0,0.32258064516129037,0,1,0.6666666666666667,0.6666666666666666,3,0.5,0,0.0,1,0.4285714285714285,0.0,0.0,0.0,0.18129858253315034
50016,1,0.29032258064516125,2,1,0.22580645161290322,6,1,0.6666666666666667,0.33333333333333337,3,1.0,1,0.4,1,0.7857142857142857,0.3333333333333333,0.0,0.2222222222222222,0.08108520042676415
50017,1,0.0,0,0,0.22580645161290322,4,0,0.6666666666666667,0.6666666666666666,3,0.25,2,0.1,1,0.4999999999999999,0.3333333333333333,0.0,0.0,0.14609053497942381
50018,1,0.0,1,2,0.19354838709677422,5,1,0.3333333333333333,0.6666666666666666,2,0.5,2,0.1,1,0.0,0.3333333333333333,0.0,0.3333333333333333,0.3608443834781283
50019,1,0.0,0,0,0.25806451612903225,4,1,0.6666666666666667,0.9999999999999999,2,0.5,2,0.1,1,0.9285714285714285,0.3333333333333333,0.0,0.6666666666666666,0.3859929888736475
50023,1,0.29032258064516125,1,2,0.7419354838709677,5,1,0.3333333333333333,0.33333333333333337,4,0.5,2,0.1,1,0.5714285714285713,0.0,0.0,0.0,0.050754458161865634
50024,1,0.0,2,2,0.6774193548387096,4,0,0.6666666666666667,0.9999999999999999,2,0.5,0,0.30000000000000004,1,0.0,0.3333333333333333,0.5,0.2222222222222222,0.27053802773967384
50025,1,0.45161290322580644,0,0,0.29032258064516125,4,1,0.3333333333333333,0.9999999999999999,0,0.25,2,0.20000000000000004,0,0.2857142857142857,0.0,0.0,0.3333333333333333,0.7347203170248437
50026,1,0.0,2,0,0.32258064516129037,3,0,0.3333333333333333,0.33333333333333337,4,1.0,2,0.7000000000000001,0,0.7857142857142857,0.3333333333333333,0.0,0.4444444444444444,0.2431793933851547
50027,0,0.25806451612903225,1,2,0.03225806451612903,5,1,0.6666666666666667,0.33333333333333337,0,0.75,0,0.1,0,0.1428571428571428,0.3333333333333333,0.0,0.6666666666666666,0.4790428288370674
50030,0,0.16129032258064516,0,2,0.29032258064516125,5,0,0.3333333333333333,0.33333333333333337,0,0.25,2,0.1,0,0.2142857142857143,0.6666666666666666,1.0,0.7777777777777777,0.6088248742569731
50031,0,0.06451612903225806,0,0,0.03225806451612903,1,1,0.3333333333333333,0.33333333333333337,2,0.5,0,0.1,0,0.1428571428571428,0.0,0.0,1.0,0.2522481329065691
50032,0,0.0,1,0,0.25806451612903225,3,1,0.3333333333333333,0.6666666666666666,2,0.5,0,0.20000000000000004,0,0.4285714285714285,0.3333333333333333,0.0,0.0,0.39041304679164757
50033,0,0.967741935483871,2,0,0.32258064516129037,0,0,0.6666666666666667,0.6666666666666666,3,0.75,0,0.4,1,0.6428571428571427,0.3333333333333333,0.0,0.0,0.1780978509373572
50035,0,0.29032258064516125,0,2,0.0967741935483871,5,0,0.6666666666666667,0.33333333333333337,3,0.5,0,0.6000000000000001,0,0.4999999999999999,0.3333333333333333,0.0,0.2222222222222222,0.09312604785855816
50036,0,0.0,2,0,0.29032258064516125,0,1,0.6666666666666667,0.33333333333333337,3,0.25,0,0.1,0,0.9285714285714285,0.0,0.5,0.2222222222222222,0.10013717421124824
50037,0,0.29032258064516125,0,0,0.32258064516129037,0,1,0.3333333333333333,0.33333333333333337,3,0.75,1,0.6000000000000001,0,0.4999999999999999,0.0,0.5,0.2222222222222222,0.0773510135650054
50038,0,0.03225806451612903,2,0,0.7096774193548387,0,1,0.6666666666666667,0.33333333333333337,3,0.25,0,0.1,0,0.0,0.0,0.0,0.2222222222222222,0.12985825331504341
50039,0,0.967741935483871,1,0,0.8064516129032259,4,1,0.3333333333333333,0.0,0,0.25,1,0.30000000000000004,1,0.3571428571428571,0.3333333333333333,0.0,0.4444444444444444,0.6424325560128028
50040,0,0.0,0,0,0.29032258064516125,0,1,0.6666666666666667,0.6666666666666666,3,0.5,1,0.1,1,0.2857142857142857,0.0,0.0,0.1111111111111111,0.11865569272976684
